Master Category,Subcategory,Date,Location,Payee,Description,Payment Method,Amount
Food,Groceries,2025-01-13,Denver CO,KING SOOPERS,PURCHASE AUTHORIZED ON 01/13 KING SOOPERS #0083 DENVER CO,VISA CARD ...9876,-61.43
Food,Groceries,04/28/2025,Denver CO,COSTCO GAS,  PURCHASE AUTHORIZED ON 04/28 COSTCO GAS #1652 DENVER CO   ,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-73.30
Transfers,Zelle,2025-10-09,Online,ZELLE,ZELLE TO  NOAH WILSON ON 10/09 REF # R84NGG5Y547D UTILITIES,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-133.97
Utilities,Mobile,2025-03-27,Online,XFINITY MOBILE,XFINITY MOBILE 888-936-4968 PA,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-63.71
Rewards,Cash Back,2025-06-03,Online,CASH BACK,CASH BACK REDEMPTION REF 126786211,VISA CARD ...9876,75.42
Utilities,Mobile,04/25/2025,Online,XFINITY MOBILE,XFINITY MOBILE 888-936-4968 PA,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-79.40
Food,Groceries,05/06/2025,Denver CO,COSTCO GAS,PURCHASE AUTHORIZED ON 05/06 COSTCO GAS #1652 DENVER CO,DEBIT CARD ...7761,-61.68
Rewards,Cash Back,11/05/2025,Online,CASH BACK,CASH BACK REDEMPTION REF 195967649,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,41.62
Dining,Fast Food,12/17/2025,Aurora CO,CHICK-FIL-A,PURCHASE AUTHORIZED ON 12/17 CHICK-FIL-A #03255 AURORA CO,VISA CARD ...9876,-21.13
Home,Mortgage,05/19/2025,Online,PENNYMAC,PENNYMAC         CASH May 25 8504011128-0008 CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-2001.12
Home,Mortgage,2025-12-19,Online,PENNYMAC,PENNYMAC         CASH Dec 25 8642136977-0001 CUSTOMER NAME,DEBIT CARD ...7761,-2033.01
Food,Convenience,12/03/2025,Aurora CO,7-ELEVEN,PURCHASE AUTHORIZED ON 12/03 7-ELEVEN BOULDER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-8.91
Food,Groceries,2025-03-06,Denver CO,COSTCO GAS,PURCHASE AUTHORIZED ON 03/06 COSTCO GAS #1652 DENVER CO,DEBIT CARD ...7761,-77.18
Utilities,Internet,07/16/2025,Online,COMCAST,COMCAST-XFINITY  CABLE SVCS 250716 UQYQNSJ  CUSTOMER NAME,VISA CARD ...9876,-68.53
Food,Groceries,01/20/2025,Denver CO,COSTCO GAS,PURCHASE AUTHORIZED ON 01/20 COSTCO GAS #1652 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-84.76
Transport,Tolls,09/20/2025,Denver CO,E 470 EXPRESS TOLLS,E 470 EXPRESS TOLLS 303-5373470 CO,DEBIT CARD ...7761,-9.23
Food,Groceries,06/29/2025,Denver CO,KING SOOPERS,PURCHASE  AUTHORIZED  ON  06/29  KING  SOOPERS  #0083  DENVER  CO,DEBIT CARD ...7761,-34.13
Cash,ATM,09/30/2025,Aurora CO,ATM WITHDRAWAL,ATM WITHDRAWAL AUTHORIZED ON 09/30 3521 N Tower Rd Aurora CO 000,DEBIT CARD ...7761,-110.05
Transport,Tolls,2025-05-27,Denver CO,E 470 EXPRESS TOLLS,E 470 EXPRESS TOLLS 303-5373470 CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-12.31
Food,Groceries,11/02/2025,Denver CO,SPROUTS,SPROUTS FARMERS MAR DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-34.53
Utilities,Internet,03/18/2025,Online,COMCAST,COMCAST-XFINITY  CABLE SVCS 250318 9BRKU5A  CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-68.89
Food,Groceries,07/08/2025,Denver CO,KING SOOPERS,PURCHASE AUTHORIZED ON 07/08 KING SOOPERS #0083 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-196.79
Bills,Insurance,2025-12-27,Online,STATE FARM,STATE FARM  INSURANCE 800-956-6310 IL,VISA CARD ...9876,-94.33
Food,Groceries,09/15/2025,Denver CO,COSTCO WHSE,PURCHASE AUTHORIZED ON 09/15 COSTCO WHSE #1652 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-264.89
Transport,Tolls,01/25/2025,Denver CO,E 470 EXPRESS TOLLS,E 470 EXPRESS TOLLS 303-5373470 CO,DEBIT CARD ...7761,-6.50
Utilities,Mobile,01/17/2025,Online,XFINITY MOBILE,XFINITY MOBILE 888-936-4968 PA,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-37.17
